GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML-SkLearn,sklearn.ensemble.forest,RandomForestRegressor,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,BaseForestUtil,3,22,0,0,2,4,1,1,1,1
JPMML-SkLearn,sklearn.ensemble.forest,ExtraTreesClassifier,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,ExtraTreesRegressor,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,RandomForestClassifier,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,BaseForestRegressor,2,16,0,0,1,4,1,3,1,3
JPMML-SkLearn,sklearn.ensemble.forest,BaseForestClassifier,0,26,0,0,0,7,0,4,0,4
JPMML-SkLearn,sklearn2pmml,SelectorProxy,5,22,0,0,2,6,1,4,1,4
JPMML-SkLearn,sklearn2pmml,EstimatorProxy.new CastFunction() {...},26,0,0,0,2,0,2,0,2,0
JPMML-SkLearn,sklearn2pmml,PMMLPipeline,135,748,16,57,23,164,14,42,1,18
JPMML-SkLearn,sklearn2pmml,PMMLPipeline.new Object() {...},4,33,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn2pmml,Verification,0,46,0,0,0,11,0,10,0,10
JPMML-SkLearn,sklearn2pmml,EstimatorProxy,80,21,3,1,20,7,10,3,8,3
JPMML-SkLearn,joblib,NumpyArrayWrapper,5,97,4,6,1,17,4,8,0,6
JPMML-SkLearn,joblib,NDArrayWrapperConstructor,14,16,0,0,3,6,2,2,2,2
JPMML-SkLearn,joblib,NDArrayWrapper,90,0,10,0,16,0,12,0,7,0
JPMML-SkLearn,joblib,NDArrayWrapperConstructor.new NDArrayWrapper() {...},17,0,0,0,3,0,2,0,2,0
JPMML-SkLearn,sklearn.ensemble,EnsembleRegressor,18,10,0,0,5,3,3,2,3,2
JPMML-SkLearn,sklearn.ensemble,EnsembleClassifier,18,10,0,0,5,3,3,2,3,2
JPMML-SkLearn,tpot.builtins,ContinuousOutputFeature,13,98,1,5,3,24,2,7,1,5
JPMML-SkLearn,tpot.builtins,CategoricalOutputFeature,79,0,4,0,21,0,8,0,6,0
JPMML-SkLearn,tpot.builtins,OutputUtil,3,26,1,5,2,7,2,3,1,1
JPMML-SkLearn,tpot.builtins,CategoricalOutputFeature.new Object() {...},26,0,0,0,1,0,1,0,1,0
JPMML-SkLearn,tpot.builtins,StackingEstimator.new Object() {...},2,17,0,0,0,1,0,1,0,1
JPMML-SkLearn,tpot.builtins,StackingEstimator,101,86,6,1,17,18,4,3,0,3
JPMML-SkLearn,lightgbm.sklearn,LGBMClassifier,0,18,0,0,0,5,0,4,0,4
JPMML-SkLearn,lightgbm.sklearn,LGBMRegressor,0,18,0,0,0,5,0,4,0,4
JPMML-SkLearn,lightgbm.sklearn,Booster,36,48,6,4,1,12,4,5,0,4
JPMML-SkLearn,lightgbm.sklearn,BoosterUtil,3,45,0,0,2,11,1,3,1,3
JPMML-SkLearn,sklearn,Classifier,0,15,0,0,0,6,0,5,0,5
JPMML-SkLearn,sklearn,Selector,6,54,1,5,2,12,2,5,1,3
JPMML-SkLearn,sklearn,Clusterer,2,7,0,0,1,3,1,2,1,2
JPMML-SkLearn,sklearn,TypeUtil,3,97,0,6,2,20,1,5,1,2
JPMML-SkLearn,sklearn,Initializer,4,21,0,0,1,5,1,3,1,3
JPMML-SkLearn,sklearn,LabelEncoderClassifier,0,17,0,0,0,5,0,3,0,3
JPMML-SkLearn,sklearn,TransformerUtil,3,33,0,6,2,13,1,4,1,1
JPMML-SkLearn,sklearn,Regressor,0,9,0,0,0,4,0,3,0,3
JPMML-SkLearn,sklearn,Transformer,5,52,2,2,1,15,2,7,0,7
JPMML-SkLearn,sklearn,ClassifierUtil.new Function() {...},5,14,2,2,1,4,2,2,0,2
JPMML-SkLearn,sklearn,TypeUtil.new Function() {...},0,6,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn,ClassifierUtil,22,19,1,1,3,6,2,3,1,3
JPMML-SkLearn,sklearn,Estimator,2,13,0,0,1,4,1,3,1,3
JPMML-SkLearn,sklearn.svm,BaseLibSVMRegressor,0,114,0,0,0,23,0,12,0,12
JPMML-SkLearn,sklearn.svm,BaseLibSVMClassifier,0,150,0,2,0,32,0,15,0,14
JPMML-SkLearn,sklearn.svm,SVR,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,NuSVC,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,OneClassSVM,0,30,0,0,0,7,0,3,0,3
JPMML-SkLearn,sklearn.svm,NuSVR,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,OneClassSVM.new OutlierTransformation() {...},0,21,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn.svm,SVC,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,LinearSVR,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,SupportVectorMachineUtil.new Function() {...},0,6,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn.svm,SupportVectorMachineUtil,51,30,15,3,11,5,13,2,1,2
JPMML-SkLearn,sklearn2pmml.preprocessing,PMMLLabelBinarizer,4,17,1,1,1,6,1,4,0,4
JPMML-SkLearn,sklearn2pmml.preprocessing,MultiLookupTransformer,3,110,2,6,2,22,2,7,0,5
JPMML-SkLearn,sklearn2pmml.preprocessing,PMMLLabelEncoder,5,0,0,0,2,0,1,0,1,0
JPMML-SkLearn,sklearn2pmml.preprocessing,LookupTransformer,6,250,3,11,3,48,3,12,0,8
JPMML-SkLearn,sklearn2pmml.preprocessing,LookupTransformer.new Feature() {...},0,24,0,0,0,4,0,2,0,2
JPMML-SkLearn,sklearn2pmml.preprocessing,ExpressionTransformer,0,39,0,0,0,7,0,3,0,3
JPMML-SkLearn,sklearn.linear_model.logistic,LogisticRegression,5,21,1,1,1,6,1,3,0,3
JPMML-SkLearn,numpy,DType,67,259,30,15,5,36,23,16,0,11
JPMML-SkLearn,sklearn.linear_model.coordinate_descent,ElasticNet,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.linear_model.coordinate_descent,Lasso,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.linear_model.base,LinearRegression,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.bagging,BaggingClassifier,0,51,0,4,0,14,0,5,0,3
JPMML-SkLearn,sklearn.ensemble.bagging,BaggingRegressor,0,26,0,0,0,7,0,3,0,3
JPMML-SkLearn,sklearn.ensemble.bagging,BaggingUtil.new Function() {...},0,7,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn.ensemble.bagging,BaggingUtil,3,60,0,2,2,13,1,3,1,2
JPMML-SkLearn,collections,DefaultDict,0,19,0,0,0,5,0,3,0,3
JPMML-SkLearn,numpy.random,RandomState,0,35,0,0,0,5,0,3,0,3
JPMML-SkLearn,org.jpmml.sklearn.visitors,TreeModelCompactor,44,293,17,42,11,84,17,22,0,9
JPMML-SkLearn,org.jpmml.sklearn.visitors,TreeModelCompactor.new Object() {...},2,17,0,0,0,1,0,1,0,1
JPMML-SkLearn,org.jpmml.sklearn.visitors,TreeModelFlattener,21,275,7,45,5,91,7,30,0,11
JPMML-SkLearn,sklearn.linear_model,BaseLinearRegressor,0,45,0,0,0,10,0,6,0,6
JPMML-SkLearn,sklearn.linear_model,BaseLinearClassifier,4,139,1,7,1,29,1,9,0,6
JPMML-SkLearn,sklearn.tree,TreeModelUtil.new Function() {...},0,26,0,0,0,3,0,2,0,2
JPMML-SkLearn,sklearn.tree,TreeModelUtil.new Function() {...},0,21,0,2,0,6,0,3,0,2
JPMML-SkLearn,sklearn.tree,ExtraTreeClassifier,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.tree,DecisionTreeClassifier,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.tree,PresortBestSplitter,35,0,0,0,5,0,3,0,3,0
JPMML-SkLearn,sklearn.tree,TreeRegressor,0,22,0,0,0,6,0,4,0,4
JPMML-SkLearn,sklearn.tree,RegressionCriterion,19,0,0,0,5,0,3,0,3,0
